ID	MANUAL KEY	C
528454	E major	2
533963	G minor	2
536497	D minor	2
542315	B minor	2
542876	E minor	2
558054	F# minor	2
561086	B major	2
563669	E minor	2
574098	A# minor	2
574896	A minor	1
575766	A minor	2
578325	-	0
580557	D# major	2
585098	B minor	2
588558	C major / G# major	1
588879	F minor	2
598701	B minor	2
601207	D major	2
603802	A minor	2
605407	D major	2
608572	D major	2
608703	D minor	2
611801	A minor	2
611928	E minor	2
611933	F minor	1
616128	D minor	2
616415	D# major	2
617609	C# major	2
628368	D major	2
628617	C# minor	2
633283	E minor	2
635716	A minor	2
638337	D minor	2
638879	A minor	2
643172	G minor	2
645331	G minor	1
645959	D minor	2
650084	B major	1
650341	D minor	2
650371	A minor	2
650505	A minor	2
650820	-	0
654335	-	0
656533	E minor	2
657010	D minor	2
673637	A# minor	2
675299	E major	2
680345	E major	2
681908	C# minor	2
682387	C# minor	2
685481	A minor	2
686686	D minor	2
687183	C minor	2
687544	A minor	1
691545	C# minor	2
691843	C# major	2
693512	E major / C# minor	1
694157	D minor	2
694280	D minor	1
695589	D minor	2
696806	C# minor	2
697443	D# major	2
700076	A# minor	2
707425	B minor	2
707851	F# minor	2
710106	B minor	1
712848	G minor	2
712853	A minor	2
715745	C minor	2
718543	F# major	2
722892	C minor	2
723438	D# minor	2
734930	A minor	2
737878	D major	1
738230	E minor	1
742215	C major	2
753241	D minor	2
754389	D minor	2
755905	B minor	2
760778	C# major	2
760891	D# major	2
765583	-	0
771181	E minor	1
780216	A# minor	2
780236	C minor	2
787388	F# major	2
793946	D# major	2
794309	D# minor	2
797707	B minor	1
798594	F minor	2
805746	G minor	2
808116	C minor	2
808982	G major	2
809450	E minor	1
818686	F# minor	2
821091	D minor	2
823951	G major	2
828061	F# major	2
830719	F# minor	2
836000	C# major	2
837795	G minor	2
841676	A# major	2
842552	C minor	2
852917	C minor	2
857189	D major	2
861422	C minor	2
864300	B minor	2
868240	B minor	2
870280	E minor	2
871246	A minor	2
889391	G minor	2
894614	G# minor	1
897094	D# minor	2
898664	B minor	2
905046	B minor	2
906851	D minor	2
908868	G# major	2
909102	A# minor	2
912213	E major	1
920509	G# major	2
920580	F# minor / F# major	1
920615	E minor	2
923491	E minor	2
923844	-	0
940966	C# minor	2
943181	G minor	2
944826	C# major	2
950746	G major	2
953140	E minor	2
958447	A# minor	1
967034	C minor	2
984534	F minor / C major	2
984867	-	0
987207	C# major	2
997069	C minor	2
1017875	F# minor	2
1019315	D minor	2
1019403	G# minor	1
1034722	C minor	2
1038248	D# minor	2
1051007	G# minor	2
1054705	E minor	2
1056047	F# minor	2
1059355	C# major	2
1060028	B minor	2
1067950	D major	2
1072514	D major	2
1077935	G# major	2
1093726	C# minor	2
1096228	D minor	2
1115626	G major	2
1127447	-	0
1144674	G minor	2
1147737	C minor	2
1152124	G minor	2
1152770	D major / B minor	1
1156133	E minor	2
1163534	D minor	2
1164250	B minor	2
1164433	C# minor	2
1167965	F minor	2
1177887	A# minor	2
1179938	-	0
1185017	G major	2
1187324	D minor	2
1190182	B minor	2
1190980	E minor	2
1194397	C# major	2
1194512	A minor	2
1196189	G minor	2
1205438	E minor	2
1237554	E minor	1
1240548	F# minor	2
1243107	B minor	2
1258142	C# minor	2
1261783	C# major	2
1262462	C minor	1
1267809	A major	2
1269910	-	0
1270235	G# minor	2
1274431	E minor	2
1276072	F# major	2
1277819	D minor	2
1287738	C minor	2
1288533	G minor	2
1290620	C# minor	1
1290631	E minor	2
1290726	B major	2
1298557	C# major	2
1298600	D# minor	2
1312884	A minor	2
1320423	E minor	2
1320553	D# minor	2
1321948	-	0
1334754	A# minor	2
1336593	A# minor	2
1338256	D major	2
1340461	C minor	2
1342043	E major	2
1350891	A# minor	2
1352419	D# minor	2
1362355	C# minor	2
1367862	C# major / C# minor	2
1367983	E minor	2
1372384	D minor	2
1388341	A minor	2
1389267	E major / G# minor	1
1389968	D# minor	2
1393305	D minor	1
1397802	C major	2
1398692	C minor	2
1402876	A# minor	2
1410568	C# minor	2
1410588	B major	2
1413180	C# minor	2
1416128	F# major	2
1426839	A# minor	2
1428584	F major	2
1429124	D minor	1
1435514	-	0
1439221	C# minor	2
1439992	-	0
1441223	F# minor	2
1446413	D# minor	2
1446566	F major / A# minor	1
1453434	E major	2
1454669	A# minor	2
1456345	G# major	2
1460099	D# minor	2
1461499	-	0
1472760	E minor	2
1474885	D major	2
1478848	C minor	2
1492875	C minor	2
1493674	B minor	2
1497713	D major	2
1507482	G# minor	2
1541713	-	0
1544667	F minor	2
1545117	D minor	2
1556952	D# minor	0
1558123	A major	2
1569491	F minor	2
1579295	C minor	2
1581325	G# major	2
1586496	G# minor	2
1587110	C minor	1
1587211	-	0
1595063	C major	2
1598083	C# major	2
1599632	C# minor	2
1607693	F minor	2
1609519	D# minor	1
1612997	E minor	2
1613669	E major / minor	1
1622037	A major	2
1622038	A minor / C# minor	2
1627499	D# minor	2
1642729	C minor	2
1647165	D major	2
1648142	A# minor	2
1660225	G minor	2
1662838	B minor	2
1669212	D minor	2
1673356	D major	2
1681314	F minor	2
1691194	G# major	2
1693189	A minor	2
1694550	A# minor	2
1716212	B minor	2
1740306	F minor / G# major	1
1740984	C minor	2
1743700	F# minor	2
1746583	C# minor	2
1746628	C# major	2
1758017	G minor	2
1758691	D major	2
1759353	F# minor	2
1762014	A# major	1
1777396	-	0
1781925	B minor	2
1783835	C# major	2
1789849	C minor	2
1795965	C major	2
1797450	F# minor	2
1807862	-	0
1810291	C minor	2
1848401	C minor	2
1854407	B major	1
1857841	F# major	2
1860990	G# minor	2
1868905	C major / C minor	1
1879911	G# minor	2
1881646	D major	2
1883395	C major	1
1893472	C# minor	1
1895483	D# minor	2
1896153	C minor	2
1905079	D# minor	2
1918063	G major	2
1918338	E major	2
1926319	C# minor	2
1926377	B minor	2
1934576	C# minor	2
1958231	C# minor	2
1958760	F# major	2
1971434	A# major	2
1974069	E major	2
1980637	D minor	2
1981132	D major	2
1985174	B minor / E minor	2
1989603	A# minor	2
2003951	E minor	2
2016942	A# major	2
2017315	D major	2
2019112	G# major	2
2022073	C# minor	2
2022519	F# minor	2
2024668	-	0
2028917	C major	2
2046030	D major	2
2047805	B major	2
2049030	C# major	2
2061659	F minor	1
2062542	F major	1
2068812	F minor	2
2076953	C# major	1
2090586	E major	2
2104436	F minor / C minor	1
2422478	G# major	2
2423336	F minor	2
2425817	F# minor	2
2426699	C minor	2
2435069	C# major	2
2446138	C# minor	2
2664585	G major	2
2678362	A# major	2
2702217	G# major	2
2706210	C# major	2
2706938	B major	2
2707024	D# minor	2
2721806	G# major	2
2741616	G minor	2
2754261	G major	2
2763714	A minor	2
2997186	B minor	2
3010576	F minor	2
3011454	C minor / C major	2
3014691	B major	2
3014758	F# major	2
3018901	G minor	2
3020003	G# minor	2
3023456	E minor / C major / C minor	0
3027735	F minor	2
3028271	C# major	2
3028806	G minor	2
3034770	C# minor	2
3044568	G minor	2
3052009	C# major	2
3062618	C minor	2
3074103	G major	2
3078576	D minor	2
3086101	G minor	2
3093686	C major	2
3095574	D minor	2
3098555	G minor	2
3115087	F# minor / E minor	2
3116337	F major / D minor	1
3122906	C# minor / C# major	2
3124420	C minor	1
3124687	C minor	1
3126447	D# minor	2
3137109	C# minor	2
3139360	C minor	2
3141667	C# minor	2
3150149	-	0
3154894	C# minor	2
3161699	D minor	2
3162448	C# minor	2
3166014	A major	2
3185928	A/A# minor/major	1
3198358	G minor	2
3198699	C minor / F minor	2
3205441	G minor	2
3207588	F# major	2
3213612	C minor	2
3218510	F minor	0
3221970	C# major	1
3230155	B minor	2
3235703	E minor	2
3240761	A# major	2
3250046	F# major	2
3250971	-	0
3251296	C# minor	1
3252056	F minor	2
3257500	E minor	2
3260611	G minor	1
3272193	G major	2
3286229	E minor	2
3286310	G# minor	2
3292669	A# major	2
3296534	C minor	2
3298819	C# minor	2
3299235	C minor	2
3303218	F# major	2
3311376	G major	2
3318291	G# major	2
3322505	C# major	1
3327760	C minor	2
3341440	E minor	2
3342211	D minor	1
3356780	E minor	2
3359168	G minor	2
3360682	F# major	2
3360996	G minor	2
3363187	-	0
3377570	F minor	2
3378284	G minor	2
3390945	D# minor	2
3391744	C minor	2
3400910	C minor	2
3408131	A# minor	2
3432838	A major	1
3440288	F# major	2
3445831	D# minor	2
3467040	C# minor	2
3476908	B minor	2
3486594	D# minor	2
3489634	A# minor	2
3509627	G# minor	2
3516171	A# minor	2
3520807	D# major	2
3526880	C# minor	2
3527620	G minor	2
3528734	B minor	2
3537560	A minor	2
3540106	C minor	2
3547619	A# minor	2
3558946	-	0
3569019	E major	2
3574764	G# minor	2
3581368	F minor	2
3586934	-	0
3595030	F minor	1
3607700	E minor	2
3619815	E minor	2
3622084	F# major	2
3630680	C minor	2
3638458	F major / D minor / C minor	2
3639596	C# major	2
3647184	D minor	2
3655850	G# major	2
3656502	-	0
3662506	D# major	2
3671250	B major	2
3676879	G# major	2
3687603	C# major	2
3694824	C# major	2
3704248	-	0
3705941	C major	2
3715704	A minor	1
3727019	-	0
3728272	C minor	2
3731508	C minor	2
3733853	C major	2
3737315	F major	2
3743797	G# minor	1
3762907	G# minor	2
3766235	C minor	2
3771813	D# minor	2
3783446	C# major	2
3791889	-	0
3794333	D minor	2
3798377	F# minor	2
3801208	D# minor	2
3801681	C# minor	2
3817388	E minor	2
3830951	G minor	2
3831323	G# major	2
3831852	F major	2
3831965	A# major	2
3833751	A# minor	2
3836467	G# major	2
3839060	G# major / A minor	2
3854133	B minor	2
3857465	D# major	2
3865255	D minor	2
3868708	F# minor	2
3870922	E minor	2
3889717	C minor	2
3897406	C minor	2
3905287	C minor	2
3906152	G# major	2
3912606	B major	2
3915618	C minor	2
3916942	C minor	2
3923369	D# major	2
3928779	B minor / D major	2
3935158	F# major	2
3937649	A# minor	2
3948315	-	0
3949006	E minor	1
3966027	F# minor	2
3968158	-	0
3987315	C minor	1
3988819	D# minor / F# minor	1
3994605	A# minor	1
3999467	G major	2
4004366	C# minor	1
4020452	F major	2
4026906	E major	2
4032964	A minor	2
4051513	C# minor	2
4052411	D minor	2
4061369	D# minor	2
4071302	D minor	2
4081121	A# major	2
4085830	D minor	2
4089252	C# minor	2
4090254	D minor	2
4096403	E major	2
4104550	E minor	2
4106262	C# minor	2
4111004	B minor	2
4115098	E minor	2
4123856	F minor	2
4132072	G# major	2
4134179	A# major	2
4149415	E major	2
4151001	E minor	2
4151005	C minor	2
4164104	D# major	2
4164425	F# minor	2
4180893	F minor	2
4184078	D minor	2
4184925	G minor	2
4186569	D minor	1
4188354	C minor	2
4188360	-	0
4196452	C# major	2
4202945	F minor	2
4210528	G# minor	1
4214391	B minor	2
4217672	F# minor	2
4220180	C# major	2
4222236	C major	2
4240512	D# minor	1
4251163	D minor	2
4262086	E minor	2
4264841	-	0
4265141	B minor	1
4266877	C major	2
4272275	A minor	2
4272853	C minor	2
4286040	F minor / F# minor	1
4292533	F minor	2
4297505	F minor	2
4299047	D# major	2
4306620	E minor	2
4310604	A minor	2
4311630	 	0
4315887	D# major	2
4318934	B major	2
4323121	A# minor	2
4328336	A# minor / G# minor	2
4334231	B minor	2
4340615	G minor	1
4340765	A# major	2
4341902	F# minor	2
4351142	F major	2
4353404	G# minor	1
4354199	A minor	2
4364291	E minor	2
4372159	-	0
4376323	F major	2
4377128	G# minor	2
4381031	C# major	2
4398291	A minor	2
4408526	C minor	2
4411864	D# major	0
4416284	G# major	2
4418313	G# major	2
4421420	C major	2
4445523	B major	2
4451522	C minor	1
4459148	-	0
4464873	C# major	2
4482723	G minor	2
4496670	D# major	1
4503715	C minor	2
4509681	F# major	2
4510650	B major	2
4514491	A# major	2
4523424	E major	2
4528744	D major	2
4562821	G minor	2
4568358	A# major	2
4571164	F minor	1
4572120	B major	2
4586995	C# minor	1
4587092	E major / C# minor	1
4587945	E minor	2
4590651	B minor	2
4590691	C# major	2
4596386	C# minor	2
4615998	-	0
4616741	A# major	2
4623197	D# major	2
4630401	B major	2
4631771	A# major	2
4660390	F# major	2
4660409	F minor	2
4661608	F# minor	2
4664095	F# major	2
4665597	F minor	2
4690755	E major	2
4692133	G minor	2
4704294	F minor	2
4710435	A# major	2
4726263	E minor	2
4733800	A# minor	2
4741346	C# minor	2
4750550	-	0
4753283	C minor	2
4756702	E minor	2
4759312	C minor	2
4763543	A major	1
4765342	A major	2
4767556	A minor	2
4770235	-	0
4771754	F# minor	2
4772886	C minor	2
4784473	F# major	2
4792796	B major	2
4793409	F# minor	2
4805277	B major / G# minor	1
4809086	A# minor	2
4811158	F# major	2
4820720	C minor	2
4824309	D major	2
4829270	D# major	1
4834661	F minor	1
4838183	F minor	2
4848629	E minor	2
4855328	C# minor	2
4857871	A# major	2
4870279	D# major	2
4873800	G# minor	2
4878879	E major	2
4885376	C# minor	2
4887623	E major	2
4887778	G minor	2
4906181	D minor	2
4906900	F minor	2
4907717	B minor	2
4912830	C minor	2
4917696	G# minor	2
4918269	D minor	1
4920129	F minor	2
4937843	G# minor / B major	1
4938098	D minor	1
4943671	G# major	2
4944953	G minor	2
4946269	F minor	2
4970565	B major 	2
4974176	F minor	2
4975002	C# major	2
4992440	C# major	2
4998705	B minor	2
5011176	-	0
5031142	C# major	2
5038642	G# minor	1
5048299	E minor	2
5054157	F major	2
5056508	C minor / B major	1
5057312	G# minor	2
5059176	C# minor	2
5060362	-	0
5066211	C minor	2
5076754	D major	1
5092947	E minor	2
5095717	F# major	2
5106232	F# minor	2
5120148	C minor	2
5123514	A# major	2
5124113	-	0
5124850	G# minor	2
5133242	G minor	2
5135485	F# minor	2
5138597	G minor	2
5144599	D# major	2
5148970	G# major	2
5152629	E minor	2
5157102	F# minor	2
5159908	C# minor	2
5175064	E minor	0
5186642	C minor	2
5187049	A# minor	2
5188713	A# minor	1
5192554	E minor	2
5202489	A# minor	1
5207006	A minor	2
5207351	C minor	1
5211090	F minor	2
5215470	G# minor	2
5234073	C# minor	2
5234318	G major	2
5243836	A# minor / B minor	1
5245862	D# minor	2
5254640	B minor / C minor / E minor	0
5263861	C# minor	2
5272649	B minor	2
5279212	F# minor	2
5287841	A# major	2
5296203	G# minor	2
5299867	B major	2
5299981	G minor	1
5309154	F minor	2
5315287	G# minor	1
5315479	E minor	2
5317673	D# minor	1
5323380	C# minor	1
5324261	G minor	2
5329278	F minor	2
5330075	-	0
5338500	C# minor	2
5344837	C# minor	2
5351971	G minor	2
5359592	A# major	2
5371595	F# minor	2
5374180	-	0
5380961	C minor	2
5381987	-	0
5382659	A# major	0
5392168	D# minor	1
5393783	G# minor	2
5403134	F minor	2
5404020	F minor	2
5404068	A# minor	2
5404644	-	0
5411517	E minor	2
5415462	F minor	2
5419394	F minor	2
5420676	G# major	2
5427061	A major	2
5428785	C minor	2
5429242	C# minor	2
5441797	F minor	2
5443161	F minor	2
5456553	C minor	2
5458695	F minor	2
5466977	E minor	2
5467340	D# minor	2
5476058	A minor	1
5478004	A# minor	2
5492171	F minor	2
5492384	B major	2
5493430	A minor / D major	2
5495991	D# minor	2
5497183	B major	1
5497219	D# minor	2
5498352	F minor	2
5536316	C# minor	1
5545112	C major	2
5547982	D# major	2
5554987	F minor / G# major	1
5558264	C minor	2
5561072	B major / G# minor	1
5568606	C# minor	2
5575647	A# minor	2
5580807	G minor	2
5594806	A# major	2
5611816	D# major	2
5612854	C# minor	2
5618695	C minor	2
5622199	-	0
5630800	B minor	2
5635782	G# minor	0
5653983	D major	2
5654170	F# minor	2
5667823	A major	1
5669262	F major	1
5672671	B minor	2
5687266	C# minor	2
5693285	F# minor	1
5697805	A major	2
5701122	G# minor / B major	2
5723120	F minor	1
5728532	E minor	2
5733037	G major	1
5734184	C minor	2
5736132	E major	2
5739130	B minor	2
5742777	G# minor	2
5769455	G# major	2
5795173	F minor	2
5799274	F minor / E minor	1
5813087	E minor	2
5816285	A minor	1
5821511	B minor	2
5831818	G# major	2
5841117	-	0
5855468	D# minor	2
5866030	C# minor	2
5874377	F# minor	2
5876668	C minor	2
5886473	A# major	2
5888808	A# minor	2
5903646	F minor	1
5905170	D# minor / F minor	1
5922285	G minor	1
5922688	C# minor	1
5925664	C minor	2
5943904	G major	1
5948622	D minor	2
5955816	F minor	2
5956160	C minor	2
5971086	D# major	2
5980898	-	0
5980991	D minor	2
5986917	G# major	2
5996975	G minor	2
5998113	F# minor	2
6002570	F# minor	1
6003575	G major	2
6011574	G minor	2
6027087	F# major	2
6039665	F# major	2
6042784	F minor	2
6051774	F minor	2
6062914	C# minor	2
6065388	G# major	2
6067929	D minor	2
6086331	G# major	2
6087559	A# major	2
6103149	C# major / F# major	2
6105589	C# major 	2
6107169	B minor	2
6115356	-	0
6131590	F minor	2
6141900	-	0
6144221	E minor	2
6147973	A# major	2
6150686	D major	2
6160319	A# major	2
6161061	-	0
6165907	F# major	2
6168356	B minor	2
6180590	F minor	1
6199830	D# minor	2
6204461	B major / E minor	1
6217931	A# major / A minor	2
6218674	F minor	2
6220367	D major	2
6220395	A# major	2
6221323	F# major	2
6222804	E minor	2
6227783	G# major	2
6230588	C minor	2
6235742	G minor / C# minor	2
6236612	F minor / G minor	2
6243629	F minor	2
6247002	G# minor	2
6258107	-	0
6273674	C# major / F minor	2
6275472	F minor	2
6275984	E minor	2
6276803	F minor	2
6280855	C minor	1
6282277	F minor	2
6282761	F# major	2
6283681	C# minor	2
